txn_id,date,description,amount,currency,merchant,account_id
TXN001,2024-04-01,TESCO SUPERSTORE LONDON,42.35,GBP,Tesco,ACC001
TXN002,2024-04-01,NETFLIX.COM,17.99,GBP,Netflix,ACC001
TXN003,2024-04-02,TFL TRAVEL CHARGE,6.40,GBP,Transport for London,ACC001
TXN004,2024-04-02,PRET A MANGER SOHO,8.75,GBP,Pret A Manger,ACC001
TXN005,2024-04-03,SPOTIFY PREMIUM,11.99,GBP,Spotify,ACC001
TXN006,2024-04-03,AMAZON.CO.UK,34.99,GBP,Amazon,ACC001
TXN007,2024-04-04,DELIVEROO ORDER,28.50,GBP,Deliveroo,ACC001
TXN008,2024-04-04,COSTA COFFEE VICTORIA,5.20,GBP,Costa Coffee,ACC001
TXN009,2024-04-05,SAINSBURYS LOCAL,19.80,GBP,Sainsbury's,ACC001
TXN010,2024-04-05,GYM MEMBERSHIP PUREGYM,24.99,GBP,PureGym,ACC001
TXN011,2024-04-06,UBER TRIP,14.20,GBP,Uber,ACC001
TXN012,2024-04-07,MARKS AND SPENCER FOOD,55.60,GBP,Marks & Spencer,ACC001
TXN013,2024-04-08,APPLE ICLOUD STORAGE,0.99,GBP,Apple,ACC001
TXN014,2024-04-08,EAT LUNCH CANARY WHARF,9.50,GBP,EAT.,ACC001
TXN015,2024-04-09,AMAZON PRIME,8.99,GBP,Amazon,ACC001
TXN016,2024-04-09,TFL TRAVEL CHARGE,12.80,GBP,Transport for London,ACC001
TXN017,2024-04-10,NANDOS RESTAURANT,32.00,GBP,Nando's,ACC001
TXN018,2024-04-10,DISCORD NITRO,9.99,GBP,Discord,ACC001
TXN019,2024-04-11,WAITROSE SUPERMARKET,68.40,GBP,Waitrose,ACC001
TXN020,2024-04-11,STARBUCKS COFFEE,6.80,GBP,Starbucks,ACC001
TXN021,2024-04-12,BRITISH GAS ENERGY,89.00,GBP,British Gas,ACC001
TXN022,2024-04-12,JUST EAT ORDER,22.99,GBP,Just Eat,ACC001
TXN023,2024-04-13,CINEMA ODEON LEICESTER SQ,15.50,GBP,Odeon,ACC001
TXN024,2024-04-13,GREGGS THE BAKER,3.20,GBP,Greggs,ACC001
TXN025,2024-04-14,VODAFONE MONTHLY PLAN,35.00,GBP,Vodafone,ACC001
TXN026,2024-04-14,BOOTS PHARMACY,18.75,GBP,Boots,ACC001
TXN027,2024-04-15,LIDL SUPERMARKET,31.20,GBP,Lidl,ACC001
TXN028,2024-04-15,YOUTUBE PREMIUM,13.99,GBP,YouTube,ACC001
TXN029,2024-04-16,UBER EATS,19.80,GBP,Uber Eats,ACC001
TXN030,2024-04-16,NATIONAL RAIL TICKET,48.50,GBP,National Rail,ACC001
TXN031,2024-04-17,CAFFE NERO,4.90,GBP,Caffè Nero,ACC001
TXN032,2024-04-17,ASOS.COM ONLINE,79.99,GBP,ASOS,ACC001
TXN033,2024-04-18,TESCO SUPERSTORE LONDON,37.15,GBP,Tesco,ACC001
TXN034,2024-04-18,ADOBE CREATIVE CLOUD,54.99,GBP,Adobe,ACC001
TXN035,2024-04-19,WAGAMAMA RESTAURANT,41.00,GBP,Wagamama,ACC001
TXN036,2024-04-19,TFL TRAVEL CHARGE,8.60,GBP,Transport for London,ACC001
TXN037,2024-04-20,AMAZON.CO.UK,129.00,GBP,Amazon,ACC001
TXN038,2024-04-20,PRET A MANGER EUSTON,7.45,GBP,Pret A Manger,ACC001
TXN039,2024-04-21,MICROSOFT 365,9.99,GBP,Microsoft,ACC001
TXN040,2024-04-21,ALDI SUPERMARKET,28.60,GBP,Aldi,ACC001
TXN041,2024-04-22,DELIVEROO ORDER,31.20,GBP,Deliveroo,ACC001
TXN042,2024-04-22,LONDON GYM CLASS,20.00,GBP,Fitness First,ACC001
TXN043,2024-04-23,SAINSBURYS LOCAL,14.40,GBP,Sainsbury's,ACC001
TXN044,2024-04-23,AUDIBLE SUBSCRIPTION,7.99,GBP,Audible,ACC001
TXN045,2024-04-24,UBER TRIP,22.60,GBP,Uber,ACC001
TXN046,2024-04-24,ITSU SUSHI CITY,12.50,GBP,Itsu,ACC001
TXN047,2024-04-25,SKY BROADBAND,45.00,GBP,Sky,ACC001
TXN048,2024-04-26,WATERSTONES BOOKS,24.99,GBP,Waterstones,ACC001
TXN049,2024-04-27,TESCO SUPERSTORE LONDON,51.80,GBP,Tesco,ACC001
TXN050,2024-04-28,HONEST BURGERS,18.90,GBP,Honest Burgers,ACC001
